num_perm,num_bands,rows_per_band,avg_latency_ms,avg_precision5
<<<<<<< HEAD
64,32,2,0.095,0.025
64,64,1,1.638,0.05
128,64,2,0.144,0.0
128,128,1,2.543,0.125
256,128,2,0.231,0.025
256,256,1,3.314,0.15
=======
64,32,2,0.188,0.025
64,64,1,3.603,0.05
128,64,2,0.298,0.0
128,128,1,5.34,0.15
256,128,2,0.394,0.025
256,256,1,6.87,0.15
>>>>>>> origin/ahmad
