hamming_threshold,avg_latency_ms,avg_precision5,avg_recall5
3,1.178,0.0,0.0
5,1.167,0.0,0.0
8,1.147,0.0,0.0
10,1.333,0.0,0.0
12,1.321,0.0,0.0
15,1.232,0.0,0.0
20,1.241,0.0,0.0
None,1.27,0.025,0.025
